DateTime,Users,In-Game
4/24/2020 0:00,23666457,6567607
4/25/2020 0:00,23190930,6909976
4/26/2020 0:00,23315861,6935435
4/27/2020 0:00,23299170,6085159
4/28/2020 0:00,23575838,6145062
4/29/2020 0:00,23176198,6110546
4/30/2020 0:00,23388261,6271415
5/1/2020 0:00,23515387,6789794
5/2/2020 0:00,22938880,6832629
5/3/2020 0:00,23195518,6862591
5/4/2020 0:00,23190847,6098599
5/5/2020 0:00,23022032,5956324
5/6/2020 0:00,22735477,5831991
5/7/2020 0:00,22550368,5770705
5/8/2020 0:00,22555587,6071742
